product_id,product_name,category,sub_category,brand,cost_price,list_price
PROD00001,Viva Footwear Model-0001,Fashion,Footwear,Viva,127.34,218.72
PROD00002,Astra Laptops Model-0002,Electronics,Laptops,Astra,1822.59,2593.85
PROD00003,Trendora Women Model-0003,Fashion,Women,Trendora,1142.19,2344.73
PROD00004,Astra Audio Model-0004,Electronics,Audio,Astra,1672.55,2258.64
PROD00005,Viva Footwear Model-0005,Fashion,Footwear,Viva,240.51,482.75
PROD00006,UrbanWeave Footwear Model-0006,Fashion,Footwear,UrbanWeave,1179.71,2053.33
PROD00007,Trendora Footwear Model-0007,Fashion,Footwear,Trendora,391.48,778.37
PROD00008,Trendora Men Model-0008,Fashion,Men,Trendora,1823.24,2806.96
PROD00009,Luma Makeup Model-0009,Beauty,Makeup,Luma,265.2,558.21
PROD00010,Astra Mobiles Model-0010,Electronics,Mobiles,Astra,1895.8,3712.01
PROD00011,Astra Mobiles Model-0011,Electronics,Mobiles,Astra,927.05,1864.31
PROD00012,StreetNine Footwear Model-0012,Fashion,Footwear,StreetNine,1265.43,2644.72
PROD00013,Viva Men Model-0013,Fashion,Men,Viva,11594.21,17019.66
PROD00014,Trendora Accessories Model-0014,Fashion,Accessories,Trendora,322.93,395.85
PROD00015,Trendora Men Model-0015,Fashion,Men,Trendora,736.59,1439.56
PROD00016,StreetNine Women Model-0016,Fashion,Women,StreetNine,893.7,1196.38
PROD00017,StreetNine Footwear Model-0017,Fashion,Footwear,StreetNine,2269.54,3149.48
PROD00018,GlowLab Personal Care Model-0018,Beauty,Personal Care,GlowLab,1686.2,3402.49
PROD00019,FlexGear Outdoor Model-0019,Sports,Outdoor,FlexGear,3374.13,4683.09
PROD00020,Astra Laptops Model-0020,Electronics,Laptops,Astra,2004.63,4106.7
PROD00021,FlexGear Fitness Model-0021,Sports,Fitness,FlexGear,380.92,662.27
PROD00022,ZenLiving Decor Model-0022,Home & Kitchen,Decor,ZenLiving,1214.19,2395.4
PROD00023,GlowLab Fragrance Model-0023,Beauty,Fragrance,GlowLab,3182.47,6623.0
PROD00024,PureAura Haircare Model-0024,Beauty,Haircare,PureAura,324.97,602.45
PROD00025,ZenLiving Furniture Model-0025,Home & Kitchen,Furniture,ZenLiving,742.62,1488.12
PROD00026,ModeHub Men Model-0026,Fashion,Men,ModeHub,450.68,765.13
PROD00027,Luma Haircare Model-0027,Beauty,Haircare,Luma,1223.22,2357.02
PROD00028,FlexGear Running Model-0028,Sports,Running,FlexGear,1309.23,2123.86
PROD00029,FlexGear Yoga Model-0029,Sports,Yoga,FlexGear,203.13,409.69
PROD00030,Viva Women Model-0030,Fashion,Women,Viva,135.28,241.88
PROD00031,StreetNine Kids Model-0031,Fashion,Kids,StreetNine,1886.54,2641.94
PROD00032,SoundMax Laptops Model-0032,Electronics,Laptops,SoundMax,808.07,1305.02
PROD00033,Viva Kids Model-0033,Fashion,Kids,Viva,628.08,771.86
PROD00034,PeakMotion Team Sports Model-0034,Sports,Team Sports,PeakMotion,1022.26,1667.05
PROD00035,Trendora Accessories Model-0035,Fashion,Accessories,Trendora,155.7,332.27
PROD00036,ZenLiving Kitchen Model-0036,Home & Kitchen,Kitchen,ZenLiving,2642.4,4703.42
PROD00037,UrbanWeave Footwear Model-0037,Fashion,Footwear,UrbanWeave,359.79,676.55
PROD00038,FitCore Yoga Model-0038,Sports,Yoga,FitCore,719.08,883.62
PROD00039,Voltix Smart Home Model-0039,Electronics,Smart Home,Voltix,3739.11,7526.09
PROD00040,PixelPro Laptops Model-0040,Electronics,Laptops,PixelPro,1597.98,3346.4
PROD00041,ModeHub Kids Model-0041,Fashion,Kids,ModeHub,151.22,318.94
PROD00042,CookCraft Furniture Model-0042,Home & Kitchen,Furniture,CookCraft,703.01,924.59
PROD00043,CookCraft Furniture Model-0043,Home & Kitchen,Furniture,CookCraft,582.71,1155.39
PROD00044,FitCore Running Model-0044,Sports,Running,FitCore,362.78,612.18
PROD00045,StreetNine Footwear Model-0045,Fashion,Footwear,StreetNine,98.07,158.21
PROD00046,NovaTech Audio Model-0046,Electronics,Audio,NovaTech,664.86,1420.25
PROD00047,NovaTech Laptops Model-0047,Electronics,Laptops,NovaTech,304.87,418.45
PROD00048,BrightHome Appliances Model-0048,Home & Kitchen,Appliances,BrightHome,1344.3,2576.81
PROD00049,NovaTech Audio Model-0049,Electronics,Audio,NovaTech,155.48,306.82
PROD00050,VelvetSkin Fragrance Model-0050,Beauty,Fragrance,VelvetSkin,1299.77,1596.18
PROD00051,PixelPro Mobiles Model-0051,Electronics,Mobiles,PixelPro,6439.9,8554.06
PROD00052,CookCraft Storage Model-0052,Home & Kitchen,Storage,CookCraft,574.52,1026.82
PROD00053,Luma Skincare Model-0053,Beauty,Skincare,Luma,7760.02,13445.92
PROD00054,StreetNine Accessories Model-0054,Fashion,Accessories,StreetNine,390.2,832.06
PROD00055,UrbanWeave Men Model-0055,Fashion,Men,UrbanWeave,1411.48,2068.55
PROD00056,ModeHub Women Model-0056,Fashion,Women,ModeHub,1542.14,3295.42
PROD00057,GlowLab Skincare Model-0057,Beauty,Skincare,GlowLab,322.01,420.55
PROD00058,HomeNest Kitchen Model-0058,Home & Kitchen,Kitchen,HomeNest,252.85,504.93
PROD00059,CookCraft Decor Model-0059,Home & Kitchen,Decor,CookCraft,461.19,742.54
PROD00060,FitCore Yoga Model-0060,Sports,Yoga,FitCore,439.11,528.51
PROD00061,PeakMotion Team Sports Model-0061,Sports,Team Sports,PeakMotion,2611.87,4377.25
PROD00062,VelvetSkin Personal Care Model-0062,Beauty,Personal Care,VelvetSkin,345.55,418.22
PROD00063,Luma Makeup Model-0063,Beauty,Makeup,Luma,545.32,1144.77
PROD00064,Bloom Skincare Model-0064,Beauty,Skincare,Bloom,813.88,1057.28
PROD00065,CookCraft Decor Model-0065,Home & Kitchen,Decor,CookCraft,1439.06,3067.53
PROD00066,BrightHome Decor Model-0066,Home & Kitchen,Decor,BrightHome,323.95,548.91
PROD00067,Viva Women Model-0067,Fashion,Women,Viva,275.53,476.56
PROD00068,ActivePro Fitness Model-0068,Sports,Fitness,ActivePro,1021.58,2212.12
PROD00069,CookCraft Furniture Model-0069,Home & Kitchen,Furniture,CookCraft,1117.52,1823.59
PROD00070,PureAura Fragrance Model-0070,Beauty,Fragrance,PureAura,8352.87,15113.02
PROD00071,UrbanWeave Accessories Model-0071,Fashion,Accessories,UrbanWeave,397.71,703.06
PROD00072,StreetNine Men Model-0072,Fashion,Men,StreetNine,2942.17,5795.37
PROD00073,Luma Fragrance Model-0073,Beauty,Fragrance,Luma,598.51,826.91
PROD00074,Trendora Kids Model-0074,Fashion,Kids,Trendora,328.75,520.05
PROD00075,CookCraft Furniture Model-0075,Home & Kitchen,Furniture,CookCraft,1546.51,3256.99
PROD00076,VelvetSkin Makeup Model-0076,Beauty,Makeup,VelvetSkin,938.48,1659.36
PROD00077,PureAura Fragrance Model-0077,Beauty,Fragrance,PureAura,422.69,690.42
PROD00078,UrbanWeave Kids Model-0078,Fashion,Kids,UrbanWeave,1673.78,3139.3
PROD00079,StreetNine Accessories Model-0079,Fashion,Accessories,StreetNine,585.72,1215.76
PROD00080,CookCraft Decor Model-0080,Home & Kitchen,Decor,CookCraft,1750.58,3125.15
PROD00081,Astra Smart Home Model-0081,Electronics,Smart Home,Astra,622.65,1084.31
PROD00082,Voltix Accessories Model-0082,Electronics,Accessories,Voltix,528.15,1091.17
PROD00083,NovaTech Accessories Model-0083,Electronics,Accessories,NovaTech,336.63,567.39
PROD00084,HomeNest Appliances Model-0084,Home & Kitchen,Appliances,HomeNest,880.19,1834.69
PROD00085,Trendora Accessories Model-0085,Fashion,Accessories,Trendora,655.61,1422.38
PROD00086,CookCraft Decor Model-0086,Home & Kitchen,Decor,CookCraft,1293.23,2306.12
PROD00087,Luma Skincare Model-0087,Beauty,Skincare,Luma,194.13,376.04
PROD00088,Viva Footwear Model-0088,Fashion,Footwear,Viva,527.9,881.37
PROD00089,ZenLiving Storage Model-0089,Home & Kitchen,Storage,ZenLiving,2676.15,5632.69
PROD00090,ModeHub Kids Model-0090,Fashion,Kids,ModeHub,844.54,1347.86
PROD00091,Astra Audio Model-0091,Electronics,Audio,Astra,2069.92,4473.88
PROD00092,GlowLab Skincare Model-0092,Beauty,Skincare,GlowLab,1394.51,2410.28
PROD00093,ModeHub Men Model-0093,Fashion,Men,ModeHub,629.21,1275.8
PROD00094,UrbanWeave Men Model-0094,Fashion,Men,UrbanWeave,2448.8,3444.24
PROD00095,Bloom Personal Care Model-0095,Beauty,Personal Care,Bloom,1190.49,1655.9
PROD00096,StreetNine Kids Model-0096,Fashion,Kids,StreetNine,471.92,702.11
PROD00097,VelvetSkin Personal Care Model-0097,Beauty,Personal Care,VelvetSkin,1165.57,2451.5
PROD00098,PeakMotion Fitness Model-0098,Sports,Fitness,PeakMotion,873.89,1125.3
PROD00099,PixelPro Accessories Model-0099,Electronics,Accessories,PixelPro,565.58,958.88
PROD00100,Trendora Women Model-0100,Fashion,Women,Trendora,2268.08,3392.25
PROD00101,ZenLiving Decor Model-0101,Home & Kitchen,Decor,ZenLiving,1991.59,3782.8
PROD00102,Viva Footwear Model-0102,Fashion,Footwear,Viva,807.95,1417.94
PROD00103,Bloom Personal Care Model-0103,Beauty,Personal Care,Bloom,1013.02,1232.03
PROD00104,UrbanWeave Men Model-0104,Fashion,Men,UrbanWeave,1553.61,1883.5
PROD00105,RunX Fitness Model-0105,Sports,Fitness,RunX,415.49,517.42
PROD00106,Astra Accessories Model-0106,Electronics,Accessories,Astra,669.22,1056.29
PROD00107,BrightHome Kitchen Model-0107,Home & Kitchen,Kitchen,BrightHome,4291.84,8263.79
PROD00108,FitCore Outdoor Model-0108,Sports,Outdoor,FitCore,574.41,788.63
PROD00109,CookCraft Kitchen Model-0109,Home & Kitchen,Kitchen,CookCraft,1438.85,2556.96
PROD00110,PeakMotion Outdoor Model-0110,Sports,Outdoor,PeakMotion,1141.01,1736.63
PROD00111,ModeHub Women Model-0111,Fashion,Women,ModeHub,2497.25,4686.65
PROD00112,StreetNine Women Model-0112,Fashion,Women,StreetNine,1476.28,1882.37
PROD00113,Trendora Footwear Model-0113,Fashion,Footwear,Trendora,437.29,530.31
PROD00114,Trendora Footwear Model-0114,Fashion,Footwear,Trendora,2625.16,4373.29
PROD00115,NovaTech Audio Model-0115,Electronics,Audio,NovaTech,280.92,397.27
